SMILES,T,p,phi,LFS (cm/s)
CC,298,1,0.7,22.82
CC,298,1,0.8,30.86
CC,298,1,0.9,37.09
CC,298,1,1,41.2
CC,298,1,1.05,42.13
CC,298,1,1.1,42.26
CC,298,1,1.2,39.65
CC,298,1,1.25,36.87
CC,298,1,1.3,33.24
CC,298,1,1.35,28.91
CC,298,1,1.4,24.19
CC,308,1,0.7,24.22
CC,308,1,0.8,32.16
CC,308,1,0.9,38.82
CC,308,1,1,42.94
CC,308,1,1.05,43.86
CC,308,1,1.1,44.05
CC,308,1,1.2,41.24
CC,308,1,1.25,38.56
CC,308,1,1.3,34.77
CC,308,1,1.35,30.26
CC,308,1,1.4,25.69
CC,318,1,0.7,25.6
CC,318,1,0.8,33.96
CC,318,1,0.9,40.71
CC,318,1,1,45.16
CC,318,1,1.05,46.04
CC,318,1,1.1,46.09
CC,318,1,1.2,43.25
CC,318,1,1.25,40.37
CC,318,1,1.3,36.5
CC,318,1,1.35,31.96
CC,318,1,1.4,27.11
CC,328,1,0.7,26.89
CC,328,1,0.8,35.83
CC,328,1,0.9,42.77
CC,328,1,1,47.21
CC,328,1,1.05,48.2
CC,328,1,1.1,48.49
CC,328,1,1.2,45.48
CC,328,1,1.25,42.36
CC,328,1,1.3,38.46
CC,328,1,1.35,33.74
CC,328,1,1.4,28.67
CC,298,1,0.7,23.33
CC,298,1,0.84,36.67
CC,298,1,1.01,45.97
CC,298,1,1.13,49.44
CC,298,1,1.25,46.75
CC,298,1,1.37,32.75
CC,423,1,0.7,44.6
CC,423,1,0.84,66.99
CC,423,1,1.01,78.31
CC,423,1,1.13,84.03
CC,423,1,1.25,78.67
CC,423,1,1.37,64
CCC,298,1,0.7,21
CCC,298,1,0.8,29
CCC,298,1,0.9,35
CCC,298,1,1,38
CCC,298,1,1.1,41
CCC,298,1,1.2,39
CCC,298,2,0.9,27
CCC,298,2,1,30.5
CCC,298,2,1.1,32
CCC,298,2,1.2,30.5
CCC,298,2,1.3,28
CCC,298,1.5,0.9,28
CCC,298,1.5,1,31.5
CCC,298,1.5,1.1,35.5
CCC,298,1.5,1.2,35
CCC,298,1.5,1.3,31
CCC,298,1,0.9,31
CCC,298,1,1,35
CCC,298,1,1.1,37
CCC,298,1,1.2,35.5
CCC,298,1,1.3,31
CCCC,295,1,0.7,19
CCCC,295,1,0.8,26.8
CCCC,295,1,0.9,33.5
CCCC,295,1,1,36.9
CCCC,295,1,1.1,38.4
CCCC,295,1,1.2,36.7
CCCC,295,1,1.3,31.6
CCCC,295,1,1.4,23.7
CCCCC,298,1,0.7,20
CCCCC,298,1,0.8,28
CCCCC,298,1,0.9,33
CCCCC,298,1,1,37
CCCCC,298,1,1.1,39
CCCCC,298,1,1.2,36
CCCCC,298,1,1.3,32
CCCCC,298,1,1.4,25
CCCCC,358,1,0.7,27
CCCCC,358,1,0.8,37
CCCCC,358,1,0.9,44
CCCCC,358,1,1,49
CCCCC,358,1,1.1,50
CCCCC,358,1,1.2,48
CCCCC,358,1,1.3,43
CCCCC,358,1,1.4,33
CCCCC,398,1,0.7,32
CCCCC,398,1,0.8,44
CCCCC,398,1,0.9,52
CCCCC,398,1,1,59
CCCCC,398,1,1.1,60
CCCCC,398,1,1.2,58
CCCCC,398,1,1.3,51
CCCCC,398,1,1.4,42
CCCCC,353,1,0.7,27.7
CCCCC,353,1,0.8,35.7
CCCCC,353,1,0.9,43.2
CCCCC,353,1,1,46.2
CCCCC,353,1,1.1,47.7
CCCCC,353,1,1.2,46.2
CCCCC,353,1,1.3,42
CCCCC,353,1,1.4,30.1
CCCCCC,373,1,0.8,36
CCCCCC,373,1,0.9,44
CCCCCC,373,1,1,48
CCCCCC,373,1,1.1,51
CCCCCC,373,1,1.2,50
CCCCCC,373,1,1.3,45
CCCCCC,373,1,1.4,35
CCCCCC,353,1,0.8,40.6
CCCCCC,353,1,0.9,47.5
CCCCCC,353,1,1,50.5
CCCCCC,353,1,1.05,50.7
CCCCCC,353,1,1.1,50.1
CCCCCC,353,1,1.2,46.3
CCCCCC,353,1,1.3,38.4
CCCCCC,353,1,1.4,27.7
CCCCCCC,353,1,0.8,37
CCCCCCC,353,1,0.9,44
CCCCCCC,353,1,1,46
CCCCCCC,353,1,1.1,48
CCCCCCC,353,1,1.2,46
CCCCCCC,353,1,1.3,41
